soucre,destination,name_source
par_4_280,par_4_279,MARQUES DE LA VALDAVIA
par_4_279,par_4_278,LA MORALEJA
par_4_278,par_5_63,LA GRANJA
par_5_63,par_4_276,PUERTO NAVACERRADA
par_4_276,par_4_275,LAS TABLAS
par_4_275,par_4_274,MONTECARMELO
par_4_274,acc_4_10_35,TRES OLIVOS
acc_4_10_35,par_4_188,Fuencarral
par_4_188,par_4_261,BEGOÑA
par_4_261,par_4_1,CHAMARTIN
par_4_1,par_4_191,PLAZA DE CASTILLA
par_4_191,par_4_192,CUZCO
par_4_192,par_4_120,SANTIAGO BERNABEU
par_4_120,par_4_142,NUEVOS MINISTERIOS
par_4_142,par_4_57,GREGORIO MARAÑON
par_4_57,par_4_10,ALONSO MARTINEZ
par_4_10,par_4_50,TRIBUNAL
par_4_50,par_4_127,PLAZA DE ESPAÑA
par_4_127,par_4_199,PRINCIPE PIO
par_4_199,par_4_200,LAGO
par_4_200,par_4_103,BATAN
par_4_103,par_4_202,CASA DE CAMPO
par_4_202,par_4_257,COLONIA JARDIN
par_4_257,par_4_203,AVIACION ESPAÑOLA
par_4_203,par_4_204,CUATRO VIENTOS
par_4_204,par_4_205,JOAQUIN VILUMBRALES
par_4_108,par_4_207,PLAZA ELIPTICA
par_4_207,par_4_208,ABRANTES
par_4_208,acc_4_90_247,PAN BENDITO
acc_4_90_247,par_4_255,San Francisco
par_4_255,par_4_256,CARABANCHEL ALTO
par_4_256,par_4_305,LA PESETA
par_4_205,par_4_210,PUERTA DEL SUR
par_4_210,par_4_211,PARQUE LISBOA
par_4_211,par_4_212,ALCORCON CENTRAL
par_4_212,par_4_213,PARQUE OESTE
par_4_213,par_4_214,UNIVERSIDAD REY JUAN CARLOS
par_4_214,par_4_215,MOSTOLES CENTRAL
par_4_215,par_4_216,PRADILLO
par_4_216,acc_4_9_30,HOSPITAL DE MOSTOLES
acc_4_9_30,par_4_218,Manuela Malasaña
par_4_218,par_4_219,LORANCA
par_4_219,par_4_220,HOSPITAL DE FUENLABRADA
par_4_220,par_4_221,PARQUE EUROPA
par_4_221,par_4_222,FUENLABRADA CENTRAL
par_4_222,par_4_223,PARQUE DE LOS ESTADOS
par_4_223,par_4_224,ARROYO CULEBRO
par_4_224,par_4_225,CONSERVATORIO
par_4_225,par_4_226,ALONSO DE MENDOZA
par_4_226,par_4_227,GETAFE CENTRAL
par_4_227,par_4_228,JUAN DE LA CIERVA
par_4_228,par_4_229,EL CASAR
par_4_229,par_4_230,LOS ESPARTALES
par_4_230,par_4_231,EL BERCIAL
par_4_231,par_4_232,EL CARRASCAL
par_4_232,par_4_233,JULIAN BESTEIRO
par_4_233,par_4_234,CASA DEL RELOJ
par_4_234,par_4_235,HOSPITAL SEVERO OCHOA
par_4_235,par_4_236,LEGANES CENTRAL
par_4_36,par_4_127,OPERA
