transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,2,2:11,par_4_33,33,BANCO DE ESPAÑA,Calle de Alcalá 49,40.41922,-3.69497,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:12,par_4_34,34,SEVILLA,Calle de Alcalá 23,40.41805,-3.69925,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:13,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
METRO,2,2:14,par_4_36,36,OPERA,Plaza de Isabel II 9,40.41809,-3.70942,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:15,par_4_37,37,SANTO DOMINGO,Calle de San Bernardo 11,40.42132,-3.70796,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:16,par_4_38,38,NOVICIADO,Calle de San Bernardo 49,40.42484,-3.70742,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:17,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.43001,-3.70557,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:18,par_4_40,40,QUEVEDO,Gta de Quevedo 1,40.43322,-3.70433,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,2,2:19,par_4_41,41,CANAL,Calle de Bravo Murillo 40,40.43841,-3.70433,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,2,2:20,par_4_6,6,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.44697,-3.70397,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:1,par_4_273,273,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.34123,-3.71199,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:2,par_4_272,272,SAN CRISTOBAL,Avda de Andalucía 81,40.34154,-3.69318,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:3,par_4_271,271,VILLAVERDE BAJO-CRUCE,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:4,par_4_270,270,CIUDAD DE LOS ANGELES,Avda de Andalucía 38,40.35959,-3.69363,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:5,par_4_269,269,SAN FERMIN-ORCASUR,Avda de Andalucía 9,40.36999,-3.69418,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:6,par_4_268,268,HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49,40.37503,-3.69585,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:7,par_4_267,267,ALMENDRALES,Avda de Córdoba 21,40.38409,-3.69788,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:8,par_4_43,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.69511,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:9,par_4_44,44,DELICIAS,Paseo de las Delicias 60,40.3999,-3.6942,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:10,par_4_45,45,PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33,40.40307,-3.69423,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:11,par_4_46,46,EMBAJADORES,Gta de Embajadores 10,40.40513,-3.70268,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:12,par_4_47,47,LAVAPIES,Plaza de Lavapiés 7,40.40851,-3.7009,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:13,par_4_12,12,SOL,Plaza de la Puerta del Sol 6,40.41688,-3.70326,A,http://www.crtm.es,0,est_90_58,,1
METRO,3,3:14,par_4_49,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:15,par_4_50,50,PLAZA DE ESPAÑA,Plaza de España 1,40.42342,-3.7112,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:16,par_4_51,51,VENTURA RODRIGUEZ,Calle de la Princesa 22,40.42709,-3.71341,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,3,3:17,par_4_52,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.43066,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,3,3:18,par_4_53,53,MONCLOA,Plaza de la Moncloa 1,40.43502,-3.71945,A,http://www.crtm.es,0,est_90_14,,2
METRO,4,4:1,par_4_52,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.43066,-3.71596,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:2,par_4_39,39,SAN BERNARDO,Calle de San Bernardo 94,40.43001,-3.70557,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:3,par_4_9,9,BILBAO,Calle de Sagasta 2,40.42906,-3.70218,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:4,par_4_57,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.69594,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:5,par_4_58,58,COLON,Plaza de Colón 2,40.42542,-3.69101,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:6,par_4_59,59,SERRANO,Calle de Goya 19,40.42543,-3.68663,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:7,par_4_60,60,VELAZQUEZ,Calle de Núñez de Balboa 33,40.42503,-3.68292,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:8,par_4_30,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,0,,Europe/Madrid,2
METRO,4,4:9,par_4_62,62,LISTA,Calle del Conde de Peñalver 45,40.42917,-3.67541,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:10,par_4_63,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:11,par_4_64,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.67664,A,http://www.crtm.es,0,est_90_4,,0
METRO,4,4:12,par_4_65,65,PROSPERIDAD,Plaza de la Prosperidad 4,40.44419,-3.67482,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:13,par_4_66,66,ALFONSO XIII,Calle de López de Hoyos 190,40.44825,-3.66791,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:14,par_4_67,67,AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107,40.45354,-3.66118,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:15,acc_4_263_645,263,Arturo Soria,Calle de Arturo Soria 330,40.4802,-3.66682,,http://www.crtm.es,2,est_4_263,,0
METRO,4,4:16,par_4_69,69,ESPERANZA,Calle de Andorra 51,40.45945,-3.64582,A,http://www.crtm.es,0,,Europe/Madrid,0
METRO,4,4:17,par_4_70,70,CANILLAS,Avda de Machupichu 64,40.46381,-3.6356,A,http://www.crtm.es,0,,Europe/Madrid,2
